07168131-n	nideśa
07279687-n	nideśa
08463969-n	nidhāna
14024882-n	nidrā
07951464-n	nikara
00753685-n	nikṛti
04968895-n	nīla
00023773-n	nimitta
06646243-n	nimitta
06739990-n	nimitta
07286014-n	nimitta
06646243-n	nimittalakṣaṇa
07286014-n	nimittalakṣaṇa
09475292-n	nirjhara
07334490-n	nirodha
06738281-n	nirwacana
00007347-n	niwandha	niwaddha
06739990-n	niwandha	niwaddha
03520811-n	niwaraṇa
13977366-n	niwaraṇa
05040275-n	ṅlih	ṅĕlih
10499355-n	nṛpa wadon
10499355-n	nṛpadewī
10474064-n	nṛpaduhitā
10499355-n	nṛpamahiṣī
10472799-n	nṛpasūnu
10499355-n	nṛpatimahiṣī
10499355-n	nṛpatīśwarī
10474064-n	nṛpawaraduhitā
10499355-n	nṛpawaramahiṣī
09316454-n	nūsa
07292694-n	olih
03740161-n	oṣadha
05305806-n	oṣṭha
05289297-n	otot	otwat
08506641-n	pabharatan
07181935-n	pabheda
00452293-n	paburwan
04407435-n	pacaṇḍyan
06514093-n	pacarita
07221094-n	pacarita
08561835-n	pacima	paccima
13834399-n	pacima	paccima
08558963-n	pada
08651247-n	pada
13945919-n	pada
14429985-n	pada
05563266-n	pāda	pada
13265011-n	padakṣiṇa
05018103-n	paḍaṅ
03619890-n	paḍaṅan
06601327-n	padārtha
06738281-n	padārtha
10412055-n	padāti
04407435-n	padewāyatanan
04359589-n	pagamĕlan
03327234-n	pagĕr
03511175-n	pagĕr
09393108-n	paguha-guhan
02818832-n	paguliṅan
04359589-n	pagwan
04157320-n	pahat
03773035-n	pahesan tĕmpa
14449865-n	pahila	pahilan
08585657-n	pahīṅanan
03714235-n	pahyas	payas, paes
03773035-n	pahyasan	paesan, payasan
07226545-n	pajañji
10768585-n	pajurit
08506641-n	pajuritan
13812607-n	pakadaṅan
00097504-n	pakarma
04635104-n	pakarma
04673965-n	pakatonan
04674715-n	pakatonan
05555688-n	pakenan
14440137-n	pakeraṅ
05556943-n	pakompolan
03992703-n	pakumbhakan
08639058-n	palabwan
08506641-n	palagan
05555688-n	palalañciṅan
04161981-n	palañca
02828884-n	palaṅka
04161981-n	palaṅka
04256520-n	palaṅka
04429376-n	palaṅka
14437386-n	pālĕman
07181935-n	palenan
04161981-n	paliṅgihan
03264136-n	palipir
08510666-n	palipir
08512736-n	palipir
03481172-n	palu
08506641-n	palugon
13265011-n	pamahugi
06542047-n	pamalĕr
03648219-n	pamalwan
02797692-n	pamañjĕran
10150071-n	pamarakṣa
01220984-n	pamaryādan	pamaredan
04071102-n	pamĕgilan
07473441-n	pamĕnaṅan
07232421-n	pamicāra
00401783-n	pamirĕsĕp
04687333-n	pamirĕsĕp
13931145-n	pamitran
02818832-n	pamrĕman
04008634-n	pamugari
04359589-n	pamugĕran
13854488-n	pamugĕran
05600637-n	pamukhan
07881800-n	pāna
10694258-n	paṅadhyāyan
13413493-n	paṅaji
14070360-n	panakit
04151940-n	panamar
02679415-n	panambĕh
00021265-n	paṅan-paṅanan
14419164-n	paṅanuwandha
03673971-n	paṅapus
04181228-n	paṅapus
04359589-n	paṅāpyāna
07516354-n	panas hati
13265011-n	paṅasö
13268842-n	paṅatur
01209576-n	panawitan
00023271-n	paṅawruh
05823932-n	paṅawyakti
05824739-n	paṅawyakti
03478756-n	pañca bale
03478907-n	pañca bale
03636649-n	pandam
05075602-n	paṅdan
08409130-n	paṅdonan
03990474-n	pane	panay
06738281-n	panĕgĕs
03619890-n	paṅĕlan
00276987-n	paṅĕmĕh
13941125-n	paṅĕṇḍĕṅ
08510666-n	panĕpi
08512736-n	panĕpi
01209576-n	panewitan
05157574-n	paṅguhan
13255145-n	paṅguhan
08616050-n	paṅhwanan
05564590-n	pāṇi
06646243-n	pañihna
07286014-n	pañihna
03773035-n	paṅilon
05925366-n	panirwan
10324851-n	panirwan
13244109-n	paniṣkāra	pariṣkāra
05133107-n	pañjaṅ
04005630-n	pañjara
03636649-n	pañjut	pañjyut, pajyut, pajut
04456115-n	pañjut	pañjyut, pajyut, pajut
14956325-n	paṅka
07996689-n	paṅkti
08274354-n	paṅkti
08431437-n	paṅkti
14496710-n	paṅktikrama	pantikrama
05562595-n	paṅkwan	paṅkon
03740161-n	paṅoṣadha
14839846-n	pāṅśu
14844693-n	pāṅśu
15019030-n	pāṅśu
04164989-n	paṇṭa
05820620-n	paṅudara
05925366-n	paṅudara
05820620-n	paṅudarana
05925366-n	paṅudarana
04359589-n	paṅukuh
05051896-n	panuluy
06646243-n	pānumānan
07286014-n	pānumānan
09623038-n	panuntun
10694258-n	paṅupādhyāyan
04059701-n	panutub
03264136-n	papadon
08659993-n	papadon
03511175-n	papagĕran
03169390-n	papahosan
00757080-n	pāpakrama
04474466-n	papasaṅan
08506641-n	papraṅan
04451818-n	parabwat
02858304-n	parahu
07540866-n	parājaya
04118021-n	paramadani
08565506-n	paramālaya
09416076-n	paraṅ
07996689-n	paraṅkat
08664443-n	parantĕn
08664443-n	parantun
03259505-n	parantunan
01207609-n	parāśraya
04071102-n	parāśraya
14539960-n	parāśraya
07355491-n	paratrika
03876519-n	parĕmpwan
10582154-n	parĕpat
09815790-n	paricāra
10582154-n	paricāra
03169390-n	parikarma
05724694-n	parikleśa
07494363-n	parikleśa
07495551-n	parikleśa
05026843-n	parimāṇa
05121418-n	parimāṇa
05136150-n	pariṇāha
07296428-n	pariṇata
01220984-n	paripolah
00817680-n	paritrāṇa
01207609-n	paritrāṇa
09815790-n	pariwṛta	pariwṛtta, pariwarta
13152742-n	parṇa
03385117-n	parpat
05075602-n	parpat
10638310-n	parujar
05980875-n	paruput
13736799-n	parwa
13736799-n	parwan
09359803-n	parwata
02828884-n	paryaṅka
04161981-n	paryaṅka
04256520-n	paryaṅka
04429376-n	paryaṅka
02999410-n	pāśa
02999757-n	pāśa
04181228-n	pāśa
13957601-n	pasamakṣan
04673965-n	pasaṅ
06333653-n	pasaṅajñan
07951464-n	pasañcaya	pasañcayan
03461385-n	pasar
02818832-n	pasarean
08561835-n	paścima
13834399-n	paścima
08561835-n	paścimadeśa
13834399-n	paścimadeśa
06333653-n	pasĕṅgahan	pasaṅguhan
06339416-n	pasĕṅgahan	pasaṅguhan
01209576-n	pasewakan
03636649-n	pasigyan
00015388-n	paśujana
02402425-n	paśujāti
05600637-n	pasuryan
02881193-n	pataḍahan
04531098-n	pataḍahan
03354903-n	patāka
09334396-n	patala
03619890-n	patanĕkan
09450163-n	pataṅga
05217168-n	patanun
10151570-n	patatakwanan
01503061-n	patatri
05849789-n	patĕṅĕran
06646243-n	patĕṅĕran
05846355-n	patĕpĕṅ-tĕpĕṅ
13758296-n	patĕpĕṅ-tĕpĕṅ
04096066-n	patha
08616311-n	patha
09387222-n	patha
07355491-n	pati	pāti
10582154-n	patik
04673965-n	patiṅhalan
04674715-n	patiṅhalan
10780632-n	patnī
06333653-n	patra
04294879-n	paturagan
02818832-n	paturwan
00259643-n	pawadal
11525955-n	pawana
10373998-n	pawīja
01036996-n	pawiwāhan
07452074-n	pawiwāhan
04673965-n	pawulatan
04674715-n	pawulatan
13268842-n	pawwat-wwat
00953559-n	payuddhan
08506641-n	payuddhan
04507155-n	payuṅ
04577769-n	pĕcut	pĕpĕcut
04373894-n	pĕḍaṅ
01887896-n	pĕḍet
11458314-n	pĕḍut
11482706-n	pĕḍut
07355491-n	pĕjah
03461385-n	pĕkĕn
02829696-n	pĕluk
13867641-n	pĕluk
13869327-n	pĕluk
13907415-n	pĕluk
09823502-n	penan
08512736-n	peṅĕnan
08592656-n	peṅĕnan
10582154-n	pĕpĕḍĕk
03876519-n	pĕṭa
13983515-n	pĕtĕṅ
13265011-n	pilobha
09918248-n	pinakawĕka
05860200-n	piṇḍo	piṇḍwa
13846546-n	piṇḍo	piṇḍwa
05988282-n	piṅgiṅ
08510666-n	piṅgir
09213565-n	piṅgir
13846546-n	piṅkalih
03221720-n	pintwan
03427296-n	pintwan
02219486-n	pipīlika
13353280-n	pipirakan
13353280-n	pirak
03959485-n	piriṅ
07753592-n	pisaṅ
13384877-n	pisis
06715223-n	pisuh
00099951-n	pisulap
10080869-n	pitā
01791625-n	pitik
06671484-n	pitutur
06672297-n	pitutur
07238694-n	pitutur
02484322-n	plawaga	prawaga
02484322-n	plawaṅga	plawaṅgi
13971065-n	pobhayan
07844042-n	pöhan
03179318-n	pola
05728678-n	pola
00331950-n	polah
01220984-n	polah
03259505-n	pomahan
03546340-n	pomahan
08558963-n	pomahan
03673971-n	prabandhana
04181228-n	prabandhana
11463544-n	prabhā
11462526-n	prabhañcana
09450163-n	prabhaṅkara
04751305-n	prabheda
10231515-n	prabhu
08561835-n	pracima
13834399-n	pracima
08552138-n	pradeśa
08630985-n	pradeśa
08644722-n	pradeśa
08664443-n	pradeśa
07503987-n	pradweṣa
13980288-n	pradweṣa
02484322-n	pragusa
00410247-n	prah
00719494-n	prah
01129920-n	prah
05667404-n	prah
14473222-n	prah
08168978-n	prajāmaṇḍala
13480848-n	prajwalita
06396142-n	prakaraṇa
06410904-n	prakaraṇa
06599788-n	prakaraṇa
06738281-n	prakaraṇa
07138085-n	prakaraṇa
09963320-n	prakĕla
07516997-n	prakopa
07135734-n	pralāpa
03596787-n	pramata	paramata
14699752-n	pramata	paramata
07527352-n	pramuditā
00953559-n	praṅ
01170962-n	praṅ
10373998-n	pranaja
06333653-n	pranama
09623038-n	pranāyaka
10162991-n	pranāyaka
00097504-n	praṇayana
00410247-n	praṇayana
07484265-n	pranidhāna
07946851-n	prāṅmukha
10055847-n	prāṅmukha
06513366-n	prārthana
07484265-n	prārthana
02742753-n	prasaṅka
06693198-n	praśaṅśā
06471737-n	praśasti
06539770-n	praśasti
02742753-n	prasāyaka
07193596-n	praṣṇa
04161981-n	prastaraṇa
04256520-n	prastaraṇa
00007347-n	prastāwana
15245829-n	prastāwana
00042757-n	prasthā
03673971-n	pratali
04181228-n	pratali
09450163-n	prataṅga
05075602-n	prateka
05728678-n	prateka
05898568-n	prateka
03520811-n	pratibandha
03839795-n	pratibandha
05010801-n	pratidhwani
07226545-n	pratijñā
05142863-n	pratikāra
03219135-n	pratimā
04306847-n	pratimā
09773245-n	pratipakṣa
05010801-n	pratiśabda
01235258-n	pratyupaghāta
07355491-n	prawasana
00410247-n	prawṛtti
01220984-n	prawṛtti
00623862-n	prayāsa
00786195-n	prayāsa
05898568-n	prayojana
05980875-n	prayojana
05981230-n	prayojana
05982152-n	prayojana
14024882-n	prĕm
05813229-n	prema
14024882-n	prĕman
04161981-n	prĕnah
08664443-n	prĕnah
05540121-n	pretakapāla
05724694-n	prih
07494363-n	prih
07535010-n	prih
07490713-n	prīti
07186148-n	protsāhana
02742753-n	pṛṣatka
04059701-n	pṛṣṭhāntara
08617963-n	pucak
08677801-n	pucak
05980875-n	puhara	puwara
07292694-n	puhara	puwara
11410625-n	puhara	puwara
00045907-n	pulihan
13452347-n	pulihan
09316454-n	pulo
05988282-n	puṅguṅ
04059701-n	puṅkuran
07753592-n	puntī	punti
05562249-n	pupū
01173038-n	pupuh
07300960-n	pupuh
03481172-n	pupukul
13758296-n	pupus
05980875-n	puput-puput
07292694-n	puput-puput
05980875-n	puputan
03877845-n	purī
14211609-n	puru
13832355-n	pūrwadeśa
13832355-n	pūrwadiśa
08507558-n	pūrwaprastāwa
05868051-n	pūrwaprastuti
06396930-n	pūrwaprastuti
06333653-n	puṣpapāta
02870092-n	pustaka
06406979-n	pustaka
06410904-n	pustaka
05385534-n	pusuh-pusuh	pupusuh
15168790-n	putih timur
09918248-n	putra
09992837-n	putrī
10474064-n	putrī
05980875-n	putus
07292694-n	putus
11410625-n	putus
05813229-n	rāga
07480896-n	rāga
14844693-n	ragad
05399847-n	rah	rāh
04105068-n	rahab
04151940-n	rahab
06673142-n	rahasya
05600637-n	rahi
05602548-n	rahi
10231515-n	rāja
10628644-n	rāja
03877845-n	rajadani
10472799-n	rājasūnu
14654954-n	rajata
10499355-n	rājñī
03877845-n	rājya
08051946-n	rājya
08153437-n	rājya
08168978-n	rājya
00817680-n	rakṣa
10150071-n	rakṣaka
14539960-n	rakṣaka
04962784-n	rakta
00953559-n	raṇa
01170962-n	raṇa
01236296-n	raṇa
02999757-n	rante	rantay
08664443-n	rantunan
09328904-n	ranu
09284015-n	ranya
09992837-n	rara	rarā
10084295-n	rara	rarā
05216365-n	raragan
03169390-n	rarañcanan
04687333-n	raras
05715864-n	rasa
08405603-n	rāṣṭra
02728440-n	rasuk
09376198-n	ratnadukara
15167027-n	rātri
07374756-n	ratus
09450163-n	rawiraśmi
11485367-n	rawiraśmi
04687333-n	rawit
01503061-n	rĕda	hrĕda, ṛddha
14844693-n	rĕgĕd
05254795-n	rema
10332385-n	rena
13244109-n	rĕna-rĕni
03416329-n	rĕṅat
09258715-n	rĕṅat
13907272-n	rĕṅat
09347779-n	rĕnĕk
03169390-n	rĕṅga
14839846-n	reṇu
15019030-n	reṇu
07516354-n	rĕṅu
03385117-n	rĕpat
05075602-n	rĕpat
14496710-n	rĕpat
06624161-n	rĕrĕpi
07524529-n	rĕs
09437454-n	rimbaṅ
02778669-n	riṇḍi
13899404-n	riṇḍi
07946851-n	ripu
09773245-n	ripu
10055847-n	ripu
08428756-n	ririg
08431437-n	ririg
03169390-n	ririṅgan
11462526-n	riwutpāta
02131653-n	ṛkṣa
14061805-n	roga
14070360-n	roga
03593526-n	rombe	rombeh
03990474-n	rombe	rombeh
09238926-n	roṅ
09304465-n	roṅ
13152742-n	ron	rwan
04628192-n	roṣa
07480896-n	roṣa
07516354-n	roṣa
07516997-n	roṣa
15236475-n	ṛtu
05399847-n	rudhira
15265518-n	ruhun
14638799-n	rukma
14638799-n	rukmi
03513137-n	rukuh
04687333-n	rūm
04688246-n	rūm
09772029-n	rumajasunu
00623862-n	rusuh
05687338-n	rusuh
07524242-n	rusuh
13977366-n	rusuh
13746785-n	rwawĕlas	rowĕlas
13089631-n	rwi	ri
07352190-n	ryak
14031108-n	śaca
11525955-n	sadāgati
15121625-n	sadyopara	sadyapara
08565506-n	sadyuh
09376198-n	sāgara
09217230-n	sāgaratīra
09815790-n	sahakāri
13149506-n	sahaṅ
09450163-n	sahasrabhānu
11485367-n	sahasrabhānu
09450163-n	sahasrakiraṇa
11485367-n	sahasrakiraṇa
06746005-n	sahur
09359803-n	śaila	śela
09416076-n	śaila	śela
08191230-n	sainya	senya
10622053-n	sainya	senya
03073977-n	saka
07257815-n	saka
03484083-n	śakaṭa
04543158-n	śakaṭa
05933246-n	sakendriya
09763784-n	sakhā
10633450-n	sākṣi	sākṣī
10786517-n	sākṣi	sākṣī
05029706-n	śakti
05035353-n	śakti
08177592-n	śakti
10461424-n	śakti
01207609-n	sakuta
14654954-n	salaka
14845743-n	salila
02828884-n	salö	salu
04161981-n	salö	salu
04256520-n	salö	salu
00386676-n	salwaṅ
03416329-n	salwaṅ
09443136-n	salwaṅ
07226545-n	samadi
13971065-n	samadi
02503517-n	sāmaja
09785042-n	samāṅjuru
00953559-n	samara
08506641-n	samarabhūmi
08506641-n	samaradeśa
08506641-n	samaramaṇḍala
00795720-n	samārambha
08506641-n	samarāṅga
07942152-n	samastajana
07226545-n	samayotpanna
13971065-n	samayotpanna
00411384-n	sambaṅ
01207609-n	sambaṅ
00007347-n	sambandha	sambaddha
06739990-n	sambandha	sambaddha
10235549-n	sambandha	sambaddha
14419164-n	sambandha	sambaddha
07500741-n	sambhāwana
01090446-n	sambyawahāra
01110274-n	sambyawahāra
05638063-n	sambyawahāra
00007347-n	saminda
11525955-n	samīraṇa
00007347-n	samita
02129604-n	samoṅ
05667404-n	sampradāya
01071411-n	sampura	sampuri
01226941-n	sampura	sampuri
09334396-n	samrāt
14447525-n	sāmṛddhya
14489699-n	sāmṛddhya
02430045-n	samsam
09376198-n	samudra
09792555-n	saṅ makapuṇya hurip
03259505-n	sana
08558963-n	sana
08664443-n	sana
06333653-n	saṅajña
04359589-n	saṇḍa	saṇḍan
02728440-n	saṇḍaṅan
03169390-n	saṇḍaṅan
15169421-n	sande
06253690-n	sandeśa
07168131-n	sandeśa
07279687-n	sandeśa
08510666-n	saṇḍiṅan
06624161-n	sandyasa
00953559-n	saṅgrāma
01236296-n	saṅgrāma
08506641-n	saṅgrāmabhūmi
11482706-n	saṅhub
07226545-n	saṅi	sasaṅi
01233156-n	sañja
06333653-n	sañjñā	saṅjñā, sajñā, saṅajñā
06339416-n	sañjñā	saṅjñā, sajñā, saṅajñā
07226545-n	saṅketa
13971065-n	saṅketa
07226545-n	saṅketawacana
13971065-n	saṅketawacana
05121418-n	saṅkhya	saṅkhyā, saṅkya
05802185-n	saṅkhya	saṅkhyā, saṅkya
02881193-n	saṅku
03206908-n	saṅku
04756887-n	saṅkya
05698247-n	saṅkya
07519253-n	saṅkya
07519773-n	saṅkya
07524529-n	saṅkya
03533972-n	saṅlup
13929588-n	saṅsarga
14062725-n	saṅśritah
07970721-n	santānawaṅśa
13813042-n	santānawaṅśa
11669921-n	santun
09876454-n	saodara
09623038-n	sārabhūta
10162991-n	sārabhūta
02084071-n	sarama
09328904-n	sarasī
09397607-n	sarasī
02742753-n	śarāstra
15236859-n	śarat
10109443-n	sarba
02129604-n	śārdūla
09437454-n	sare
02879718-n	sargacāpa
05216365-n	śarīragātra
09411430-n	sarit
01726692-n	sarpa
15167027-n	śarwarī
09358226-n	śaśadhara
03365592-n	sasak
09358226-n	śaśalāñcana
05943300-n	śāsana
09358226-n	śaśāṅka
09358226-n	śaśi	śaśī, sasih
15209413-n	śaśi	śaśī, sasih
09450163-n	sasrabanu
11485367-n	sasrabanu
07731952-n	sasya
07802417-n	sasya
05809878-n	sat	sad
13955461-n	sat	sad
13956488-n	sat	sad
14638799-n	śatakumbha
00428000-n	satkṛtya
00015388-n	sato
02206856-n	ṣaṭpada	ṣaḍpada
07184149-n	sawala
06624161-n	sawalapattra
04673965-n	sawaṅ-sawaṅ
05718254-n	sawara
02151625-n	sawiwi
08625462-n	sawya
15166462-n	sāyāhna
02742753-n	sāyaka
04008634-n	sāyaka
02821627-n	śayanaśāla
15166462-n	sāyaṅkāla
02818832-n	śayyā
04256520-n	śayyā
11669921-n	sĕkar
14947807-n	sela candana	sela candani
09359803-n	śelādri
09416076-n	śelādri
08521623-n	sĕma
15056541-n	sĕmbu-sĕmbur
02219486-n	sĕmut
10123844-n	senāpati
10768585-n	senāwīra
09849598-n	sĕnĕṅ
07516354-n	sĕṅhit	sĕṅit
07516997-n	sĕṅhit	sĕṅit
10067968-n	ser
10162991-n	ser
00719705-n	sĕrĕhan
00795720-n	sĕrĕhan
09369169-n	sĕsĕh
09369169-n	sĕsĕhan	pasĕsĕhan
06710546-n	seṣṭawa
06715223-n	seṣṭawa
02898711-n	setu
01032040-n	sewa
01209576-n	sewaka
02827606-n	sewet
14757547-n	sihuṅ	siyuṅ
05579944-n	siku	sisiku
07260623-n	sikut
13758296-n	sikut
09974648-n	śilpika
02829696-n	siluk
03416329-n	siluk
13869327-n	siluk
13872421-n	siluk
13907415-n	siluk
04092609-n	simsim
01220984-n	sindaṅ
09411430-n	sindhu
09304465-n	siṅgroṅ
09393108-n	siṅgroṅ
10325013-n	siṅhākāra
05538625-n	śirah
05218119-n	sirarā
05254795-n	śirasija
05313535-n	siratmaya
08512736-n	siriṅan
05538625-n	śīrṣa
08510666-n	sisī
08510666-n	sisir
09827683-n	śiśu
09918248-n	śiśu
10559288-n	śiṣya
10665698-n	śiṣya
09358226-n	śītāṅśu
09258715-n	siwak
06624161-n	siwala	siwalan
09450163-n	Śiwārka
00431893-n	siwo
08521623-n	śmaśāna
08521623-n	śmaśānālaya
05675130-n	smṛti
05935060-n	smṛti
07545161-n	sneha
14437386-n	sobhāgya
05311054-n	soca
03596787-n	soca	sosoca, sotya
14699752-n	soca	sosoca, sotya
07858978-n	sodra
07535010-n	śoka
07535670-n	śoka
07527352-n	sokhya
04151940-n	soloboṅ
09358226-n	soma
08565506-n	somyālaya
04151940-n	soṅ
14539960-n	soṅ
02084071-n	śona
05399847-n	śonita
04507155-n	soṅsoṅ
15166462-n	sontĕn
15166462-n	sore
04164989-n	soroh
11428023-n	sorot
08639058-n	sowan
05655119-n	sparśana
05722427-n	sparśana
04980008-n	srak
06726158-n	śrāpita
10112129-n	śrāwaka
10112129-n	śrawaṇa
03073977-n	stambha
07257815-n	stambha
08558963-n	sthāna
13920835-n	sthāna
10787470-n	strī
03673971-n	suh
15165289-n	suk
15168790-n	suk
02395406-n	sūkara
09304465-n	suksukan
05687338-n	sulit
03665366-n	suluh
03666591-n	suluh
04456115-n	suluh
04572344-n	sumbĕr
08507558-n	sumbĕr
09443453-n	sumbĕr
04572344-n	sumur
09334396-n	sundharī	asundharī
09411430-n	suṅeṅ
09411430-n	suṅi
09918248-n	sūnu
10373998-n	sūnu
11428023-n	sunu
05768553-n	supĕna
09505418-n	sura
10325013-n	śūrajana
07120524-n	surak
08565506-n	surālayapada
08565506-n	surālayasabhā
08565506-n	suraloka
08565506-n	surapada
06471737-n	surat pagĕgĕh
00719705-n	suruhan
00795720-n	suruhan
09450163-n	sūryaraśmi
11485367-n	sūryaraśmi
08191230-n	susenā
09369169-n	susuhan
03365991-n	susun
08431437-n	susun
09918248-n	suta
10373998-n	suta
09992837-n	sutā
04219424-n	sutra
00051192-n	suwal
00328015-n	suwal
06746005-n	suwal
06624161-n	suwalapattra
14638799-n	suwarṇa
05202284-n	swabawa
05718254-n	swabawa
08565506-n	swaha
08565506-n	swahpada
09270894-n	swamartya
10388924-n	swāmi	swāmī
10472799-n	swāmi	swāmī
02084071-n	śwāna
05399847-n	śwanita
05768553-n	swapna	swapĕna
14024882-n	swapna	swapĕna
05718254-n	swara
10599806-n	swarāwatī
06174404-n	swarawyañjanaśāstra
08565506-n	swargabhawana
08565506-n	swargaloka
08565506-n	swargapada
05405751-n	sweda
07186148-n	syaṅ
02883344-n	tabĕla
03015254-n	tabĕla
00021265-n	taḍahan
07573696-n	taḍahan
07881800-n	tahap
05269901-n	tahulan
15203791-n	tahun
03990474-n	tajo
07524529-n	takut
09397607-n	talaga
04694441-n	talĕtĕh
05320899-n	taliṅa
02818832-n	talpa
04256520-n	talpa
04694441-n	talutuh
03740161-n	tamba	tambā
04074482-n	tamba	tambā
14635722-n	tambaga
03327234-n	tambak
04546855-n	tambak
04108268-n	tambaṅ
03329663-n	tambaṅan
00872107-n	tambĕh
05108947-n	tambĕh
13497135-n	tambĕh
04546855-n	tambĕṅ
08510666-n	tambiṅ
09213565-n	tambiṅ
02906175-n	tambra
14635722-n	tambra
06471737-n	tambrapurāṇa
04192858-n	tameṅ
10150940-n	tami
13983515-n	tamo
03264136-n	tampiṅ
08510666-n	tampiṅ
08512736-n	tampiṅ
02906175-n	tāmra
14635722-n	tāmra
10150940-n	tamu
10150940-n	tamuy
10150940-n	tamwī
04192858-n	tamyaṅ
04645943-n	tanaga
08168978-n	tanah
05564590-n	taṅan
09815790-n	taṅan suku
10582154-n	taṅan suku
09918248-n	tanaya
10753442-n	tanayan thani	tanayan wanwa
00952963-n	tandaṅ
00955060-n	tandaṅ
00972621-n	tandaṅ
05980875-n	taṇḍĕs
05981230-n	taṇḍĕs
05982152-n	taṇḍĕs
02742753-n	taṅgan
06671484-n	taṅgĕh
06672297-n	taṅgĕh
04426788-n	tantu
08565894-n	tantya
06624161-n	tanu
06647036-n	tapak	tampak
09444783-n	tāra
04192238-n	taraban	tataraban
02797692-n	tarampa
02798574-n	tarampa
05793554-n	tarampa
09444783-n	taraṅga
09444783-n	tāraṅgana
07352190-n	tarĕṅga
04546855-n	tarib
06782680-n	tarka
13104059-n	taru
08226699-n	tarukan	taru-tarukan, patarukan
09437454-n	taṭa
09397607-n	taṭāka
09222051-n	tatal
04108268-n	tatali	tali-tali
10352299-n	tataṅga
06724066-n	tathya
13956488-n	tathya
09213565-n	tatpāra
06514093-n	tattwacarita
07221094-n	tattwacarita
04693900-n	tatu
14298815-n	tatu
00817680-n	tawĕṅ
04151581-n	tawĕṅ
04151940-n	tawĕṅ
03151077-n	tawiṅ	tawiṅ-tawiṅ
04151581-n	tawiṅ	tawiṅ-tawiṅ
04151940-n	tawiṅ	tawiṅ-tawiṅ
04546855-n	tawiṅ	tawiṅ-tawiṅ
04546855-n	tawuṅ
02206856-n	tawwan	tawon
01229938-n	tĕbĕṅ
01230965-n	tĕbĕṅan
05538625-n	tĕḍas
06738281-n	tĕgĕs
04317420-n	tĕkĕn
04359589-n	tĕkĕn
07673397-n	tela	taila
14966667-n	tela	taila
08523483-n	tĕlĕr
09215664-n	tĕluk
08510666-n	tĕmbiṅ
09213565-n	tĕmbiṅ
05925366-n	tĕmpa-tĕmpa
10324851-n	tĕmpa-tĕmpa
01230965-n	tĕmu
07414922-n	tĕmu
05868272-n	tĕṅah
08523483-n	tĕṅah
05538625-n	tĕṇḍas	taṇḍas
06646243-n	tĕṅĕran	tĕṅran
05546540-n	tĕṅgĕk
05547508-n	tĕṅgĕk
05925366-n	tĕpa-tĕpa
10324851-n	tĕpa-tĕpa
03264136-n	tĕpi
08510666-n	tĕpi
08512736-n	tĕpi
08510666-n	tĕpi siriṅ
08512736-n	tĕpi siriṅ
04546855-n	tĕruṅ
03073977-n	tihaṅ	tiyaṅ
03976657-n	tihaṅ	tiyaṅ
02330245-n	tikus
02331046-n	tikus
13983515-n	timira
13983515-n	timirāndhakāra
10749528-n	tinuha	tinuha-tuha
00419908-n	tiraskāra
07502980-n	tiraskāra
10373998-n	tiris
13901585-n	tiritis
05405751-n	tīrthâṅga
00015388-n	tiryak-prāṇi
05015117-n	tis	tīs
15166462-n	tistis we	titis iṅ way
10150940-n	tithi
05728678-n	titi
05898568-n	titi
05075602-n	titi	tata-titi
04640538-n	titikṣā
13962166-n	titikṣā
07484265-n	tön
00550771-n	tontonan
06619065-n	tontonan
03724870-n	topeṅ
10373998-n	tos
10373998-n	totos	tus-tos
14845743-n	toya
09376198-n	toyadhi
09444783-n	traṅgana
13879320-n	trikoṇa
04337974-n	tū
00883297-n	tuduh
06650701-n	tuduh
07279687-n	tuduh
03073977-n	tugu
03976657-n	tugu
07257815-n	tugu
10193026-n	tuha buru
10093658-n	tuha rawa
09792555-n	tuha-tuha	tuha-tuhā
07181935-n	tukar
07184149-n	tukar
05925366-n	tulad
10324851-n	tulad
05925366-n	tuladan
10324851-n	tuladan
04059701-n	tulak walakaṅ	tulak balakaṅ
01207609-n	tuluṅ
03365991-n	tumpaṅ
08591680-n	tumpaṅ
07961480-n	tumpuk
00021265-n	tunasan
01758308-n	tuṇḍa
13129165-n	tuṅgak
04059701-n	tuṅgir
02788021-n	tuṅgul
05578095-n	tuṅkak
10352299-n	tuparĕ
05573602-n	tūr	tur
03264136-n	turaṅga
08512736-n	turaṅga
02374451-n	turaṅgama
14024882-n	turū
07363346-n	turun
07490713-n	tuṣṭi
07531255-n	tuṣṭi
05302499-n	tutuk
10373998-n	tutus
01895735-n	twak
05238282-n	twak
10373998-n	twas-twas
02788021-n	ubar-abir
07226545-n	ubhaya
13971065-n	ubhaya
07110457-n	ucap
07135734-n	ucapan
14845743-n	uda
09376198-n	udadhi
14845743-n	udaka
09376198-n	udanwān
05556943-n	udara
00883297-n	uddeśa
06650701-n	uddeśa
07279687-n	uddeśa
07260623-n	udyan
08615374-n	udyāna
07110457-n	ujar
07135734-n	ujar
07238694-n	ujar
07240549-n	ujar
13480848-n	ujwalita
04157320-n	ukiran
01726692-n	ulā
02512053-n	ulam
07775375-n	ulam
01621127-n	ulūka
03259505-n	umah
03544360-n	umah
08558963-n	umah
07352190-n	umbak
07352190-n	umih
05113133-n	ūnakṣaya
04980008-n	uṅas
02788021-n	uñcal	uñcal-uñcal
02374451-n	uṇḍakan
