00842199-a	pratisubaddha
01588172-a	prawarārya
01590115-a	prawarārya
01083157-a	pūrṇa
00249721-a	purun
00460735-a	pūta
01905653-a	pūta
00393105-a	putih	aputih
00250739-a	raga-ragan
01725712-a	raga-ragan
00217728-a	rahajĕṅ
00631391-a	rahajĕṅ
02036934-a	rahajĕṅ
00451510-a	rakit	arakit
02324397-a	rapuh
01493173-a	ratĕṅ
01382086-a	raya
01386883-a	raya
00289082-a	rĕmpuk
00032733-a	rĕñcaṅ	arĕñcaṅ
00804695-a	rĕñcaṅ	arĕñcaṅ
00077645-a	rĕrĕs
00077645-a	rĕsrĕsĕn
00800826-a	riṅi-riṅi	riṅi-riṅin, ariṅi-riṅi, ariṅih-riṅih
00631391-a	ṛju
01222360-a	ṛju
02318464-a	ṛju
02541302-a	rogī
02390335-a	rota
00631391-a	ṛta
02460502-a	ṛta
00806512-a	rūkṣa
00806512-a	ruru
01918984-a	ruruh	aruruh
01922763-a	ruruh	aruruh
00595299-a	sadākāla
01755024-a	sadākāla
01410606-a	sadṛśa
01361414-a	saharṣa
00595299-a	sahiṣṇu
01735736-a	sahiṣṇu
01410363-a	sahos
01725712-a	sakāma
00113818-a	sakrodha
00485711-a	sāmānya
00492677-a	sāmānya
01672607-a	sāmānya
01003050-a	samāpta
00514884-a	samasta
01074650-a	samodana
01372049-a	samodana
00831225-a	samoha
02158826-a	samoha
00294579-a	sampĕnĕh	sĕmpĕnĕh, simpĕnĕh
00631391-a	samyak	samyag
01878466-a	samyak	samyag
02497141-a	saniṣphala
02526124-a	saṅkaṭa
01410606-a	sannibha
00077645-a	saṅśayan
01878466-a	saṅyukti
02389220-a	sarabhasa
02390335-a	sarabhasa
02510879-a	sarabhasa
00641158-a	sārjawa
01074650-a	sārjawa
01222360-a	sārjawa
01704761-a	sārjawa
01452593-a	saru
00514884-a	sarwa
00134701-a	sasambhawa
00306663-a	sasambhawa
01361863-a	saśoka
00217728-a	saśrī
02540578-a	saswastha
02461723-a	śaṭha
00588797-a	satṛpti
00588797-a	satuṣṭa
01148283-a	satuṣṭa
02510879-a	sawega
02357479-a	sawismaya
00639230-a	sawitarka
01878466-a	sayogya
00631391-a	sayukti
01878466-a	sayukti
01067694-a	sĕgĕr	asĕgĕr
00553732-a	seka
01930512-a	sĕnaddha	sĕnnaddha, sĕnāha, sannāha, sĕnnā-
00339941-a	sĕṅap
00703615-a	sĕṇḍu	sĕṇḍö
00339941-a	siga-sigun
00822449-a	siga-sigun
00032733-a	śīghra
02111684-a	sinamudāya
02460502-a	siṅgih
00800826-a	śīra
01564315-a	sirĕp
02569130-a	śiṣṭa
01251128-a	śīta
01251128-a	śītala
02529945-a	śītala
01904845-a	śodha
01905653-a	śodha
01148283-a	sokhya
01372049-a	somya
01508719-a	somya
01061489-a	soṅar
01452593-a	sora
00703615-a	sowanīya
01437963-a	sowe-sowe
02529945-a	srĕp
01754421-a	sthāyi
00842199-a	sthira	sthīra
01754421-a	sthira	sthīra
02301560-a	sthira	sthīra
00217728-a	śubhalakṣaṇa
01904845-a	śuci
01905653-a	śuci
00262792-a	sudhīra
00583239-a	sudhīra
00842199-a	sudhīra
01052248-a	sugandhika
02021905-a	sugih
00842199-a	sugṛhīta
01148283-a	sukhātmaka
00217728-a	sulakṣmi
00077645-a	sumaṅkya
01754421-a	sumantĕn
01758339-a	sumantĕn
01244410-a	śumatru
00113818-a	sumĕṅit-sĕṅit
01372049-a	sumrĕhit
01372049-a	sumukha
01372049-a	sumukhita
00217728-a	sundara
02460502-a	suṅguh
01361863-a	suṅkawa
01749320-a	supūrṇa
00262792-a	śūralakṣaṇa
00262792-a	śūramanta
00217728-a	surūpa
02569130-a	susandhi
01083157-a	susuk
02410393-a	susuk
01749320-a	swapūrṇa
00393105-a	śwetawarṇa
00013887-a	syuh
00800826-a	tajĕm
01452593-a	tan aharis	tan aris
02510879-a	tan aharis	tan aris
00594413-a	tan ari	tan āri
00595299-a	tan ari	tan āri
01755024-a	tan ari	tan āri
00842199-a	tañ cala
02301560-a	tañ cala
00842199-a	tan giwaṅ
01754421-a	tan intar
02324397-a	tan pabisa
02497141-a	tan padon
01319874-a	tan paduṣa
00460735-a	tan palamukan
00594413-a	tan paligaran
00594413-a	tan pantĕn
00595299-a	tan pantĕn
01755024-a	tan pantĕn
00595299-a	tan pāntya
02517265-a	tan papakatonan
01827946-a	tan pasāra	tan sāra, tan asara
02324397-a	tan pasāra	tan sāra, tan asara
02413390-a	taraṅtaṅĕn
02460502-a	tathya
02324397-a	tawa
02410393-a	tĕbĕṅ
00362467-a	tĕgar
00842199-a	tĕtĕp
01256332-a	tīkṣṇa
00935500-a	tinuha	tinuha-tuha
00588797-a	trĕpi
01918984-a	trĕpi
01922763-a	trĕpi
00588797-a	tṛpta
01361414-a	tṛpti
00113818-a	tugĕt	tugĕtan
01115349-a	tulen
02460964-a	tulen
00681930-a	tuli
01410606-a	tulya
01704761-a	tuṅa-tuṅa
00842199-a	tuṅgĕṅ
01148283-a	tuṣṭa
01361414-a	tuṣṭa
00588797-a	tuṣṭacitta
01210854-a	ucca
02385102-a	ucca
01210854-a	udāra
01386883-a	udāra
01588172-a	udāra
00173220-a	udita
00703615-a	umuruṅut	amuruṅut
01210854-a	ūrdha
01277426-a	uttama
00150505-a	wāgmi
00948103-a	wāhyaka
00895442-a	wakra
00077645-a	walagri	walagrin
00514884-a	walĕlwan
02326695-a	waṅla
01052248-a	wāsita
00965606-a	wawuh
00439588-a	wibuddhi
02225510-a	widagdha
02569130-a	widwan
02326695-a	wihaṅ
00919542-a	wijah
01148283-a	wijah
00221627-a	wikaṭa
01387319-a	wikaṭa
00417413-a	wimala
01904845-a	wimala
01905653-a	wimala
01061489-a	wimukta
02225510-a	winagĕd
00262792-a	winikrama
01825671-a	winikrama
02341266-a	winiśeṣa
02497141-a	wiphala
00153898-a	wiraṅ
02399595-a	wirasa
00220956-a	wirūpa
01595596-a	wirūpa
00262792-a	wīryamanta
00842199-a	wīryamanta
01825671-a	wīryamanta
02039845-a	wīryamanta
02526124-a	wīryamanta
00935500-a	wiśārada
02225510-a	wiśārada
00289082-a	wiśīrṇa
01595596-a	wiṣkṛta
02357479-a	wismaya
02357479-a	wismita
02569130-a	wiwekī
01382086-a	wiwṛddha
02326695-a	wrĕṅkĕṅ
01083157-a	wuntu
02390335-a	wuraṅutan	awuraṅutan
02158826-a	wuta wiwuta
00514884-a	wutuh
00336831-a	wyakta
01635146-a	wyawastha	byawastha
00306663-a	yogya
01878466-a	yogya
01911053-a	yogya
04962784-n	abāṅ
09376198-n	abdhi
09963320-n	abĕṭĕk
05724694-n	ābhādha
07494363-n	ābhādha
06333653-n	abhidhana
07484265-n	abhilāṣa
05982152-n	abhimata
07484265-n	abhimata
05982152-n	abhiprāya
10150940-n	abhyāgata
13497135-n	abhyudaya
14489699-n	abhyudaya
14769160-n	abu
09359803-n	acala
06650701-n	ādeśa	adeśa
